iter	RMSE
186	299508.759
187	299151.6353
188	298831.3715
189	298268.9668
190	297615.6381
191	297319.5659
192	297027.1934
193	296514.7693
194	295942.8682
195	295456.0981
196	295000.5036
197	294763.99
198	294488.7243
199	294058.3953
200	293768.8171
201	293184.7807
202	292839.5298
203	292235.9444
204	291771.9016
205	291357.0578
206	290574.4076
207	290367.8026
208	289883.7532
209	289563.4435
210	289370.9174
211	288853.8126
212	288696.1481
213	288362.8325
214	288049.5521
215	287877.7456
216	287481.8708
217	287097.641
218	286836.1278
219	286342.4182
220	285975.3427
221	285149.9262
222	284896.0968
223	283925.8175
224	283480.5046
225	283114.0426
226	282404.868
227	282192.3415
228	281957.6618
229	281743.4202
230	281589.5508
231	281215.3358
232	280735.7952
233	280347.6403
234	279698.4092
235	279503.1626
236	279050.5617
237	278616.4671
238	278400.9263
239	278136.8501
240	277951.6917
241	277660.5257
242	277350.3795
243	277076.7749
244	276852.3899
245	276718.682
246	276527.9395
247	276337.946
248	275788.9599
249	275322.1025
250	275049.6881
251	274874.1444
252	274597.5799
253	273999.9199
254	273459.0587
255	273084.2541
256	272920.4474
257	272355.9489
258	272021.6041
259	271245.9841
260	270965.0061
261	270546.4393
262	269994.6536
263	269364.873
264	269025.1806
265	268853.6486
266	268694.3306
267	268510.438
268	268103.9301
269	267779.4161
270	267206.857
271	266988.9464
272	266943.4734
273	266644.8719
274	266261.4018
275	265539.6094
276	265350.9607
277	265216.9805
278	264910.364
279	264740.7485
280	264028.36
281	263763.0419
282	263595.0732
283	263368.1555
284	262902.1263
285	262575.5214
286	262507.8902
287	262213.4732
288	261647.345
289	261510.3331
290	260766.1151
291	260479.0876
292	260419.5388
293	259888.4197
294	259747.1108
295	259240.8638
296	258858.5394
297	258601.6141
298	258073.0119
299	257702.4978
300	257388.4065
301	257253.91
302	256714.9482
303	256250.1873
304	256120.7935
305	255796.3803
306	255251.1488
307	255006.6392
308	254628.9823
309	254546.9759
310	254424.1406
311	254001.4032
312	253767.5345
313	253677.9091
314	253572.2972
315	253291.2866
316	252736.5084
317	252405.6355
318	252040.5767
319	251526.2534
320	251247.0376
321	250593.1931
322	250197.4485
323	249980.0232
324	249562.8405
325	248962.3971
326	248458.6219
327	248343.4691
328	248126.8699
329	247955.5639
330	247554.0538
331	247302.0537
332	246745.4763
333	245946.9619
334	245253.9089
335	245128.7926
336	244952.7421
337	244659.0617
338	244469.3962
339	244212.011
340	243981.2524
341	243644.7935
342	243309.8806
343	242937.1391
344	242759.3274
345	242182.3464
346	241850.7478
347	241514.5068
348	241353.972
349	241051.4374
350	240455.2276
351	239819.6351
352	239639.6529
353	239517.0337
354	239360.2778
355	238760.1348
356	238629.9365
357	238528.6673
358	238402.0547
359	238324.0793
360	237966.8025
361	237657.3471
362	237177.287
363	236959.4645
364	236673.6906
365	236036.9161
366	235906.2036
367	235626.8702
368	235572.0118
369	235151.9415
370	234825.4885
371	234653.6523
372	234136.4362
373	233772.7961
374	233387.7992
375	233104.2002
376	232799.7356
377	232468.7394
378	232184.2639
379	231915.091
380	231821.7249
381	231498.1053
382	231389.28
383	231043.5489
384	230910.2465
385	230530.0313
386	230320.1502
387	230071.4685
388	229891.5787
389	229776.1367
390	229511.7993
391	229267.7064
392	229044.7739
393	228840.3587
394	228556.0254
395	228273.2896
396	227967.511
397	227408.6742
398	227092.6764
399	226826.7485
400	226615.7678
401	226364.5788
402	225839.173
403	225474.2861
404	225235.9475
405	224960.7514
406	224801.5373
407	224338.3948
408	224051.9807
409	223850.0359
410	223634.1324
411	223304.5135
412	223208.4492
413	222839.9657
414	222616.1944
415	222350.4047
416	222006.5671
417	221834.5466
418	221786.4974
419	221486.1699
420	221205.8329
421	220966.1464
422	220843.4432
423	220377.3305
424	219999.1688
425	219868.9571
426	219674.3654
427	219481.7902
428	219114.6475
429	218926.6005
430	218556.725
431	218381.1789
432	218121.1894
433	217948.3526
434	217790.6626
435	217570.3278
436	217279.0024
437	217113.0727
438	216619.7731
439	216304.5611
440	216075.5444
441	215928.9323
442	215576.8758
443	215513.4457
444	215194.5698
445	214757.8446
446	214483.8708
447	214312.3175
448	214221.6821
449	213972.1388
450	213727.8888
451	213529.2226
452	213478.7371
453	213044.8906
454	212683.1829
455	212472.6952
456	211977.4572
457	211757.7474
458	211567.1131
459	211100.7781
460	210876.7802
461	210474.7513
462	210256.6508
463	210039.6643
464	209996.7613
465	209800.4467
466	209544.0685
467	209298.5039
468	209193.4373
469	208849.2167
470	208661.381
471	208311.4347
472	208164.6715
473	207916.607
474	207557.2107
475	207462.3779
476	207320.6565
477	207112.33
478	206518.0927
479	206223.4598
480	205925.9233
481	205481.2152
482	205348.8279
483	205279.5211
484	205066.0816
485	204894.1769
486	204793.9263
487	204608.8771
488	204376.6084
489	204271.0175
490	203846.1073
491	203722.2134
492	203610.4155
493	203433.0057
494	203189.6344
495	202985.0842
496	202718.2033
497	202615.9038
498	202366.7346
499	202106.5298
